Atividade_principal,Data_situacao,Nome,Uf,Telefone,Email,Atividades_secundarias,Qsa,Situacao,Bairro,Logradouro,Numero,Cep,Municipio,Abertura,Natureza_juridica,Fantasia,Cnpj,Ultima_atualizacao,Status,Tipo,Complemento,Efr,Motivo_situacao,Situacao_especial,Data_situacao_especial,Capital_social,Extra
06/03/2014,EXTINCAO P/ ENC LIQ VOLUNTARIA,RIO PARDO LOCACOES LTDA,(38) 3214-6711,BAIXADA,29/12/2000,206-2 - Sociedade Empresária Limitada,03.845.557/0005-45,2017-12-16T01:42:38.149Z,OK,FILIAL,,,,,,,,,,,,,00.00-0-00 - ******** - ,00.00-0-00 - Não informada - ,0.00,,
Comércio varejista de artigos de iluminação - 47.54-7-03 - ,08/04/2001,ACL-COMERCIAL ELETRICA E ELETRONICA LTDA,MG,49-Sócio-Administrador - ZENIO FERNANDES - 49-Sócio-Administrador - ZENIO FERNANDES FILHO - 30-Sócio Menor (Assistido/Representado) - 15-Pai - ZENIO FERNANDES - BRUNO FERNANDES - ,ATIVA,CENTRO,R SANTA RITA,265,36.010-070,JUIZ DE FORA,19/08/1985,206-2 - Sociedade Empresária Limitada,21.329.008/0001-76,2017-12-28T09:34:52.192Z,OK,MATRIZ,,,,,,,,,00.00-0-00 - Não informada - ,0.00,
Produção de ferroligas - 24.12-1-00 - ,03/11/2005,ACOPAR LTDA - ME,MG,(37) 3236-7410,49-Sócio-Administrador - EDUARDO FONSECA SANTOS - 22-Sócio - CLAUDIA RIOS DE MELLO SANTOS - ,ATIVA,BAIRRO JK,R DOM SILVERIO,39,35.660-182,PARA DE MINAS,30/10/2002,206-2 - Sociedade Empresária Limitada,05.410.268/0001-15,2017-11-25T10:02:06.523Z,OK,MATRIZ,,,,,,,,00.00-0-00 - Não informada - ,20000.00,
Comércio atacadista de produtos siderúrgicos e metalúrgicos exceto para construção - 46.85-1-00 - ,02/10/2007,ACOS ALIANCA SA,MG,(31) 2138-2800,jonisa@jonisa.com.br,Comércio atacadista de embalagens - 46.86-9-02 - Comércio atacadista de resíduos e sucatas metálicos - 46.87-7-03 - Fabricação de outros produtos de metal não especificados anteriormente - 25.99-3-99 - ,08-Conselheiro de Administração - SEBASTIAO EUSTAQUIO VIEIRA JALES - 16-Presidente - GEDIEL RODRIGUES DOS SANTOS - 10-Diretor - LEONARDO DE SOUZA LIMA - 08-Conselheiro de Administração - VALDENIR RODRIGUES DE SA - ,ATIVA,SANTO ANTONIO,R ALECRIM,41,32.684-005,BETIM,02/10/2007,205-4 - Sociedade Anônima Fechada,09.234.570/0001-10,2017-11-30T08:57:48.031Z,OK,MATRIZ,,,,,,,80000.00,
Comércio atacadista de produtos siderúrgicos e metalúrgicos exceto para construção - 46.85-1-00 - ,27/08/2005,ACOS RAMOS LTDA,MG,(31) 3352-8080 / (31) 3391-4748,raldcontabil@yahoo.com.br,Comércio atacadista de ferragens e ferramentas - 46.72-9-00 - Comércio varejista de ferragens e ferramentas - 47.44-0-01 - ,49-Sócio-Administrador - CASSIO TEIXEIRA RAMOS - 22-Sócio - 05-Administrador - CASSIO TEIXEIRA RAMOS - MARIA APARECIDA NASCIMENTO RAMOS - ,ATIVA,VERA CRUZ,R G,220,32.265-100,CONTAGEM,20/07/2001,206-2 - Sociedade Empresária Limitada,ACOS RAMOS,04.565.028/0001-27,2017-11-24T01:06:45.831Z,OK,MATRIZ,,,,,,0.00,
22/05/2015,INEXISTENTE DE FATO,ACOSIDER COMERCIO DE PRODUTOS SIDERURGICOS LTDA,(31) 3503-8437 / (31) 3503-8434,contabilidade@steelcorte.ind.br,49-Sócio-Administrador - MAURICIO FONSECA SAD - 49-Sócio-Administrador - AUGUSTO ARAUJO TORRES - ,SUSPENSA,01/06/1997,206-2 - Sociedade Empresária Limitada,ACOSIDER,02.072.108/0001-15,2017-11-19T22:15:51.423Z,OK,MATRIZ,,,,,,,,,,,00.00-0-00 - ******** - ,00.00-0-00 - Não informada - ,0.00,
Fabricação de estruturas metálicas - 25.11-0-00 - ,19/09/2003,ACOVAZ INDUSTRIA E COMERCIO LTDA,MG,(31) 3577-8161,luciano@acovaz.com.br,Serviços de confecção de armações metálicas para a construção - 25.99-3-01 - Fabricação de equipamentos e acessórios para segurança pessoal e profissional - 32.92-2-02 - Fabricação de letras letreiros e placas de qualquer material exceto luminosos - 32.99-0-03 - Manutenção e reparação de equipamentos e produtos não especificados anteriormente - 33.19-8-00 - Fabricação de esquadrias de metal - 25.12-8-00 - Transporte rodoviário de carga exceto produtos perigosos e mudanças intermunicipal interestadual e internacional - 49.30-2-02 - ,49-Sócio-Administrador - LUCIANO DE OLIVEIRA VAZ - 22-Sócio - ANTONIO GUILHERME VAZ COSTA JUNIOR - ,ATIVA,DIST IND BEIJAM FER. GUIMARAES,R SAO JUDAS TADEU,176,32.450-000,SARZEDO,08/07/1998,206-2 - Sociedade Empresária Limitada,02.689.668/0001-13,2017-12-24T17:35:06.546Z,OK,MATRIZ,,,,,,,80000.00,
Comércio atacadista de ferragens e ferramentas - 46.72-9-00 - ,02/04/2004,: NUMERO 146; : NA RUA VIAMAO;,ACRO-MINAS CABOS DE ACO E FERRAMENTAS LTDA - EPP,MG,(31) 3292-7400,bianca@dectacontabil.com.br,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente - 47.59-8-99 - ,49-Sócio-Administrador - JOSE ROBERTO SLAVISCKI - 22-Sócio - RAFAEL GARCIA SIMON - ,ATIVA,PRADO,AV SILVA LOBO,519,30.411-259,BELO HORIZONTE,02/04/2004,206-2 - Sociedade Empresária Limitada,06.216.990/0001-86,2017-11-26T23:16:01.042Z,OK,MATRIZ,,,,,,60000.00,
Fabricação de componentes eletrônicos - 26.10-8-00 - ,04/07/2007,LETRA: A;,ACURA TECHNOLOGIES LTDA,MG,(35) 3435-1234,fiscal@acura.com.br,Decoração lapidação gravação vitrificação e outros trabalhos em cerâmica louça vidro e cristal - 23.99-1-01 - Fabricação de mídias virgens magnéticas e ópticas - 26.80-9-00 - Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente - 27.90-2-99 - Comércio atacadista de equipamentos de informática - 46.51-6-01 - Comércio varejista especializado de equipamentos e suprimentos de informática - 47.51-2-01 - Desenvolvimento de programas de computador sob encomenda - 62.01-5-01 - Consultoria em tecnologia da informação - 62.04-0-00 - Agências de publicidade - 73.11-4-00 - Outras atividades de publicidade não especificadas anteriormente - 73.19-0-99 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente sem operador - 77.39-0-99 - Treinamento em desenvolvimento profissional e gerencial - 85.99-6-04 - Reparação e manutenção de computadores e de equipamentos periféricos - 95.11-8-00 - ,ATIVA,CENTRO,R JOSE LUPETTI,185,37.640-000,EXTREMA,04/07/2007,206-2 - Sociedade Empresária Limitada,ACURA GLOBAL,04.740.975/0002-98,2017-11-24T07:32:09.245Z,OK,FILIAL,,,,,0.00,,
Torrefação e moagem de café - 10.81-3-02 - ,04/12/2004,GALPAO: 01;,ADELSON GOMES DA SILVA & CIA LTDA - EPP,MG,(31) 3891-5724,nivaldo@concor.com.br,Beneficiamento de café - 10.81-3-01 - Comércio atacadista de produtos alimentícios em geral - 46.39-7-01 - ,49-Sócio-Administrador - ADELSON GOMES DA SILVA - 49-Sócio-Administrador - LUIZA CARLA VELOSO SILVA - 49-Sócio-Administrador - LUIZ AUGUSTO VELOSO SILVA - ,ATIVA,ZONA RURAL,SIT CRISTAIS,SN,36.570-000,VICOSA,07/11/2003,206-2 - Sociedade Empresária Limitada,PRODUTOS ALIMENTICIOS DA FEIRA,05.968.962/0001-52,2017-11-26T10:52:08.538Z,OK,MATRIZ,,,,,5000.00,
Comércio varejista de combustíveis para veículos automotores - 47.31-8-00 - ,27/08/2005,ADILSON GIL DA SILVA - EPP,MG,Comércio varejista de lubrificantes - 47.32-6-00 - ,ATIVA,CENTRO,R SALVADOR,583,39.873-000,MACHACALIS,07/04/2000,213-5 - Empresário (Individual),POSTO MILLENIUM,03.758.111/0001-50,2017-11-22T10:33:30.209Z,OK,MATRIZ,,,,,,,,0.00,,
Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns - 47.12-1-00 - ,03/11/2005,LETRA: A;,ADINEOR CARNEIRO DE PAULA & CIA LTDA - EPP,MG,(34) 3661-1688,izanio@terra.com.br,Serviços especializados para construção não especificados anteriormente - 43.99-1-99 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente sem operador - 77.39-0-99 - Seleção e agenciamento de mão-de-obra - 78.10-8-00 - Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente - 82.99-7-99 - ,49-Sócio-Administrador - ADINEOR CARNEIRO DE PAULA - 49-Sócio-Administrador - JOSE SEVERINO DE PAULA NETO - ,ATIVA,SANTO ANTONIO,AV CASSIANO DE PAULA NASCIMENTO,335,38.182-132,ARAXA,27/04/1999,206-2 - Sociedade Empresária Limitada,IRMAOS PAULA COM.REPR.SERV E LOCACOES,03.121.876/0001-84,2017-11-21T06:40:47.472Z,OK,MATRIZ,,,,,0.00,
Transporte rodoviário de produtos perigosos - 49.30-2-03 - ,28/10/2005,SALA 06,ADV TRANSPORTES LTDA,MG,Transporte rodoviário de carga exceto produtos perigosos e mudanças municipal - 49.30-2-01 - Transporte rodoviário de carga exceto produtos perigosos e mudanças intermunicipal interestadual e internacional - 49.30-2-02 - Carga e descarga - 52.12-5-00 - Treinamento em desenvolvimento profissional e gerencial - 85.99-6-04 - ,49-Sócio-Administrador - JOSE SILVANIO CHAVES - ,ATIVA,VERA CRUZ,ROD BR 381,900,32.260-000,CONTAGEM,17/09/2003,206-2 - Sociedade Empresária Limitada,05.902.748/0001-01,2017-11-26T08:14:47.197Z,OK,MATRIZ,,,,,,,,250000.00,
Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças - 46.69-9-99 - ,03/11/2005,AEROSERVICE COMERCIO DE PECAS E MANUTENCAO AERONAUTICA LTDA. - EPP,MG,(31) 3413-1140,contabil@aeroserviceaviacao.com.br,Manutenção e reparação de aeronaves exceto a manutenção na pista - 33.16-3-01 - Representantes comerciais e agentes do comércio de máquinas equipamentos embarcações e aeronaves - 46.14-1-00 - Atividades auxiliares dos transportes aéreos exceto operação dos aeroportos e campos de aterrissagem - 52.40-1-99 - ,49-Sócio-Administrador - ROBERTO CUNHA - ,ATIVA,NOVO ALVORADA,ROD MG-05,1997,34.650-000,SABARA,29/01/1974,206-2 - Sociedade Empresária Limitada,ASA,18.203.372/0001-80,2017-11-27T00:54:51.292Z,OK,MATRIZ,,,,,,31000.00,
Serviços de engenharia - 71.12-0-00 - ,03/11/2005,AEROTRON INDUSTRIA E COMERCIO LTDA - ME,MG,(35) 3629-1389,odairclaret@hotmail.com,Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente peças e acessórios - 28.69-1-00 - Manutenção e reparação de aeronaves exceto a manutenção na pista - 33.16-3-01 - Representantes comerciais e agentes do comércio de máquinas equipamentos embarcações e aeronaves - 46.14-1-00 - Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças - 46.69-9-99 - ,49-Sócio-Administrador - JOAO BOSCO DA CUNHA FERREIRA - 49-Sócio-Administrador - CARLOS OSORIO CAMARA REIS - ,ATIVA,SANTA RITA DE CASSIA,R BENEDITO PEREIRA DOS SANTOS,50,37.502-485,ITAJUBA,17/11/1999,206-2 - Sociedade Empresária Limitada,03.506.772/0001-98,2017-11-21T23:41:59.722Z,OK,MATRIZ,,,,,,,0.00,
Serviços de engenharia - 71.12-0-00 - ,18/01/2006,AEROTRON INDUSTRIA E COMERCIO LTDA - ME,MG,(35) 3623-1105,Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente peças e acessórios - 28.69-1-00 - Manutenção e reparação de aeronaves exceto a manutenção na pista - 33.16-3-01 - Representantes comerciais e agentes do comércio de máquinas equipamentos embarcações e aeronaves - 46.14-1-00 - Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças - 46.69-9-99 - ,ATIVA,IMBEL,VL MESTRE JOSE RODRIGUES DA SILVA,S/N,37.501-342,ITAJUBA,18/01/2006,206-2 - Sociedade Empresária Limitada,03.506.772/0002-79,2017-11-21T23:43:25.572Z,OK,FILIAL,,,,,,,,0.00,,
14/02/2017,EXTINCAO P/ ENC LIQ VOLUNTARIA,AFWISER COMERCIO DE INSUMOS AGRICOLA LTDA,(35) 3551-3863,mariana@exactvs.com.br,BAIXADA,19/03/2007,206-2 - Sociedade Empresária Limitada,AF WISER,08.736.898/0001-72,2017-11-29T22:15:55.031Z,OK,MATRIZ,,,,,,,,,,,00.00-0-00 - ******** - ,00.00-0-00 - Não informada - ,0.00,,
Fabricação de ferramentas - 25.43-8-00 - ,03/11/2005,AFIACAO INDUSTRIAL SOUZA DIAS LTDA - EPP,MG,(31) 3333-0388 / (31) 3564-4557,idealconsultoriabh@gmail.com,Manutenção e reparação de máquinas-ferramenta - 33.14-7-13 - ,49-Sócio-Administrador - ELIAS TEIXEIRA DOS SANTOS - ,ATIVA,JARDIM INDUSTRIAL,R SANDOVAL DE AZEVEDO,990,32.220-020,CONTAGEM,28/10/1999,206-2 - Sociedade Empresária Limitada,AFIACERTO,03.479.561/0001-03,2017-11-21T22:51:35.264Z,OK,MATRIZ,,,,,,93770.00,
Fabricação de calçados de materiais não especificados anteriormente - 15.39-4-00 - ,27/08/2005,IND. DE CALCADOS ALLEZIAN EIRELI - EPP,MG,Fabricação de partes para calçados de qualquer material - 15.40-8-00 - ,65-Titular Pessoa Física Residente ou Domiciliado no Brasil - AFRANIO APARECIDO DOS SANTOS - ,ATIVA,PARK D. G. MARTINS,R FAUSTO PINTO DA FONSECA,500,35.519-000,NOVA SERRANA,20/01/1998,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),ALLEZIAN,02.359.141/0001-20,2017-11-20T04:58:05.005Z,OK,MATRIZ,,,,,,,,62200.00,
Comércio varejista de materiais de construção em geral - 47.44-0-99 - ,30/04/2005,AGEL MATERIAIS DE CONSTRUCAO LTDA - EPP,MG,(37) 3431-1577 / (37) 3431-3608,uniaoedilson@gmail.com,Comércio varejista de madeira e artefatos - 47.44-0-02 - Transporte rodoviário de carga exceto produtos perigosos e mudanças intermunicipal interestadual e internacional - 49.30-2-02 - ,49-Sócio-Administrador - HELI JOAQUIM VIEIRA - 22-Sócio - MARIA AUGUSTA RESENDE VIEIRA - ,ATIVA,CENTRO,R CHICRALA ELIAS MIGUEL,17,38.930-000,MEDEIROS,12/08/1974,206-2 - Sociedade Empresária Limitada,CASA DA MADEIRA,18.358.572/0001-02,2017-11-30T12:00:47.659Z,OK,MATRIZ,,,,,,100000.00,
03/06/2013,EXTINCAO P/ ENC LIQ VOLUNTARIA,AGIS EQUIPAMENTOS E SERVICOS DE INFORMATICA LTDA.,BAIXADA,20/05/2004,206-2 - Sociedade Empresária Limitada,AGIS - DISTRIBUICAO,68.993.641/0003-90,2018-01-03T17:17:34.997Z,OK,FILIAL,,,,,,,,,,,,,00.00-0-00 - ******** - ,00.00-0-00 - Não informada - ,0.00,,
Comércio varejista de combustíveis para veículos automotores - 47.31-8-00 - ,19/03/2005,AGOSTINI COMERCIO E TRANSPORTE DE PETROLEO LTDA,MG,(32) 3371-6027,agostinivianini@mgconecta.com.br,Comércio varejista de lubrificantes - 47.32-6-00 - ,49-Sócio-Administrador - RAFAEL AGOSTINI - 49-Sócio-Administrador - GABRIEL AGOSTINI - 22-Sócio - PEDRO AGOSTINI - 49-Sócio-Administrador - MARIA DO CARMO AGOSTINI - 22-Sócio - ZELIA AGOSTINI - 22-Sócio - JOAO BOSCO AGOSTINI - 22-Sócio - IZABEL REZENDE AGOSTINI - 22-Sócio - BRUNO MARCIO AGOSTINI - 22-Sócio - LUCAS MIGUEL AGOSTINI - 22-Sócio - RAQUEL AGOSTINI SCORALICK - 22-Sócio - TIAGO JOSE AGOSTINI - ,ATIVA,VILA SANTO ANTONIO (MATOZINHOS),AV REI TOME PORTES DEL REI,511,36.305-058,SAO JOAO DEL REI,26/11/1997,206-2 - Sociedade Empresária Limitada,POSTO SANTA CRUZ,02.309.786/0001-59,2017-11-20T03:40:27.577Z,OK,MATRIZ,,,,,,42000.00,
Cultivo de cana-de-açúcar - 01.13-0-00 - ,07/03/2002,AGRICOLA MONCOES LTDA EM RECUPERACAO JUDICIAL,MG,(35) 3556-2185,ATIVA,CENTRO,R WENCESLAU BRAZ,295,37.820-000,ARCEBURGO,07/03/2002,206-2 - Sociedade Empresária Limitada,04.939.296/0002-42,2017-11-24T15:07:42.389Z,OK,FILIAL,,,,,,,,00.00-0-00 - Não informada - ,0.00,,
Cultivo de café - 01.34-2-00 - ,03/11/2005,AGRO PECUARIA YKK LTDA,MG,(38) 3505-7228,agro.ykk@terra.com.br,Criação de bovinos para corte - 01.51-2-01 - Criação de suínos - 01.54-7-00 - Criação de bovinos para leite - 01.51-2-02 - Cultivo de outros cereais não especificados anteriormente - 01.11-3-99 - ,22-Sócio - 05-Administrador - TSUYOSHI TSUJI - YKK DO BRASIL LTDA - 49-Sócio-Administrador - MASAMI TATSUNO - ,ATIVA,Z.RURAL,LOC FAZENDA YKK,SN,38.650-000,BONFINOPOLIS DE MINAS,12/02/1985,206-2 - Sociedade Empresária Limitada,20.782.215/0001-19,2017-12-27T16:43:44.774Z,OK,MATRIZ,,,,,,,20379539.00,
Comércio atacadista de defensivos agrícolas adubos fertilizantes e corretivos do solo - 46.83-4-00 - ,03/11/2005,AGRO SEMENTES SACRAMENTO EIRELI,MG,(34) 3351-2452,marly@mpcontabilidade.net.br,Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos - 46.11-7-00 - ,65-Titular Pessoa Física Residente ou Domiciliado no Brasil - CACILDO FLAVIO BIZINOTTO - ,ATIVA,CENTRO,R PROFESSOR JOAO MIRANDA,336,38.190-000,SACRAMENTO,12/06/2001,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),04.494.986/0001-54,2017-11-23T22:20:23.043Z,OK,MATRIZ,,,,,,,70000.00,
Comércio atacadista de máquinas aparelhos e equipamentos para uso agropecuário; partes e peças - 46.61-3-00 - ,23/05/2001,KM: 2,5;,AGROLIGHT COMERCIAL LTDA - EPP,MG,(32) 3422-4707,elio.rocha01@gmail.com,Comércio atacadista de defensivos agrícolas adubos fertilizantes e corretivos do solo - 46.83-4-00 - Comércio atacadista de mercadorias em geral com predominância de insumos agropecuários - 46.92-3-00 - Comércio varejista de outros produtos não especificados anteriormente - 47.89-0-99 - Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária - 33.14-7-11 - Manutenção e reparação de tratores agrícolas - 33.14-7-12 - ,49-Sócio-Administrador - ELIO ROCHA DE OLIVEIRA - 30-Sócio Menor (Assistido/Representado) - 14-Mãe - ANA MARIA QUINTAO DA SILVA - JULIA SILVA OLIVEIRA - ,ATIVA,ZONA RURAL,ROD CATAGUASES/MIRAI,S/N,36.777-000,CATAGUASES,11/03/1974,206-2 - Sociedade Empresária Limitada,17.705.971/0001-30,2017-12-21T01:41:59.666Z,OK,MATRIZ,,,,,,200000.00,
